district,province,illit_m,read_m,write_m,illit_f,read_f,write_f
Aguilar,Córdoba,9614,264,2081,10593,412,957
Alba de Tormes,Salamanca,5359,734,4240,8489,854,817
Albacete,Albacete,9031,362,2881,11196,372,1130
Albaida,Valencia,11562,390,2378,13202,624,580
Albarracín,Teruel,6743,391,3837,11757,292,449
Alberique,Valencia,6125,163,1158,6835,189,269
Albocázer,Castellón,9729,254,1400,10843,137,129
Alburquerque,Badajoz,7774,202,1820,8592,270,585
Albuñol,Granada,11268,323,2454,13942,348,624
Alcalá de Guadaira,Sevilla,9107,464,2060,9540,508,863
Alcalá de Henares,Madrid,10908,802,6814,12426,813,1991
Alcalá la Real,Jaén,11807,1181,1997,12916,942,979
Alcaraz,Albacete,13616,356,2439,15165,292,580
Alcañices,Zamora,9831,1107,4453,15554,145,160
Alcañiz,Teruel,7973,667,3167,10650,637,817
Alcira,Valencia,16919,312,2025,17834,365,434
Alcoy,Alicante,11386,360,2864,14056,306,897
Alcántara,Cáceres,7378,240,2558,8477,236,954
Alcázar de San Juan,Ciudad Real,14023,843,3587,17459,621,953
Alfaro,Logroño,2755,93,1626,3721,136,697
Algeciras,Cádiz,11819,373,4547,10256,647,2437
Alhama,Granada,7134,135,1130,7527,115,485
Aliaga,Teruel,5481,398,3531,9473,180,287
Alicante,Alicante,15060,546,5794,18755,711,2390
Allariz,Orense,10837,805,4452,16637,507,354
Almadén,Ciudad Real,5904,255,2594,7082,415,782
Almagro,Ciudad Real,8631,312,2539,10436,423,811
Almansa,Albacete,6371,214,2674,8239,254,1018
Almazán,Soria,5804,771,7749,12037,1429,789
Almendralejo,Badajoz,14875,580,3901,15251,909,1660
Almería,Almería,18585,479,5002,22439,571,2102
Almodóvar del Campo,Ciudad Real,10959,341,4027,11901,303,817
Almunia de Doña Godina,Zaragoza,14572,250,4234,17292,172,940
Amurrio,Álava,4416,582,5335,6904,1190,1394
Andújar,Jaén,14599,609,4033,16154,939,1539
Antequera,Málaga,14201,333,2970,15428,413,1422
Aoiz,Navarra,13897,1414,10783,18343,2722,3401
Aracena,Huelva,17185,835,6289,19818,1546,2339
Aranda de Duero,Burgos,6701,517,7951,11966,1421,1350
Archidona,Málaga,10637,301,1972,11138,408,822
Arcos,Cádiz,13052,545,3445,13142,804,1630
Arenas de San Pedro,Ávila,9110,504,3461,11105,763,777
Arenys de Mar,Barcelona,12395,401,5345,16355,663,1746
Arnedo,Logroño,5555,502,4248,9234,382,1072
Arzúa,Coruña,14023,1193,6682,24316,434,359
Arévalo,Ávila,6255,960,6847,10239,1785,1981
