city,obs,lat,long,place_id
"Arendal, Norway",300,58.4267301,8.9469491,150442117
"Bergen, Norway",1091,60.3943055,5.3259192,148836463
"Bodø, Norway",219,67.2844313,14.3817503,251103233
"Bærum, Norway",100,59.9289639,10.4997108,151036891
"Drammen, Norway",197,59.6964936,10.175642,149111735
"Eigersund, Norway",102,58.403436,5.9258203,147122324
"Farsund, Norway",102,58.0387373,6.5848274,147965570
"Fredrikstad, Norway",303,59.1862013,10.8680241,151251942
"Gjøvik, Norway",297,60.8721617,10.5038864,149509765
"Grimstad, Norway",151,58.2839967,8.7128291,151624528
"Halden, Norway",63,59.0680555,11.537191,420545305
"Hamar, Norway",454,61.0014937,11.1647964,148205004
"Harstad, Norway",98,68.799943,16.5440322,252614504
"Hemnes, Norway",52,66.0113546,14.1428537,252155582
"Horten, Norway",206,59.4101728,10.4437392,150802630
"Indre Østfold, Norway",297,59.6102005,11.1832941,151334164
"Kinn, Norway",194,61.6204779,4.8947131,146288565
"Kongsberg, Norway",441,59.5945501,9.6708601,150460155
"Kongsvinger, Norway",308,60.1899109,12.2160367,148443326
"Kristiansand, Norway",309,58.0856276,7.931858,148208479
"Kristiansund, Norway",157,63.2168194,7.545259,148292667
"Kvam, Norway",134,64.1400117,11.7392779,253256392
"Larvik, Norway",210,59.0967308,10.02193,150625377
"Levanger, Norway",150,63.6964518,11.2238804,150028120
"Lillehammer, Norway",310,61.1333408,10.4265855,147554725
"Lillesand, Norway",103,58.1161123,8.4403257,151975330
"Lillestrøm, Norway",266,59.9155396,11.2170354,149668765
"Lindesnes, Norway",152,58.1161312,7.3831956,147789030
"Lørenskog, Norway",148,59.8970034,10.9669148,149298485
"Mandal, Norway",150,58.0268181,7.4534801999999996,146197756
"Molde, Norway",94,62.6016257,8.1386208,148322213
"Moss, Norway",322,59.4146675,10.6596578,149250506
"Narvik, Norway",201,68.4383796,17.4271978,252167292
"Nord-Aurdal, Norway",148,61.0040219,9.2658934,148833789
"Nordkapp, Norway",101,71.1699506,25.7858893,252393191
"Orkdal, Norway",106,63.2644545,9.8141184,148376498
"Oslo, Norway",3263,59.9133301,10.7389701,151334251
"Porsgrunn, Norway",150,59.103735,9.7363538,150989979
"Rana, Norway",51,66.4397132,14.3945932,253316599
"Risør, Norway",103,58.6768312,9.3108313,151256062
"Sandefjord, Norway",206,59.0799004,10.2804322,149990098
"Selbu, Norway",23,63.1754254,11.1596265,149548026
"Skien, Norway",155,59.2662883,9.5311354,151403381
"Sogndal, Norway",195,61.329791,6.7203648,147289125
"Stavanger, Norway",480,58.9699675,5.7318101,146666125
"Steinkjer, Norway",20,64.050737,11.481909,259859384
"Stjørdal, Norway",100,63.4627028,11.1344723,149666643
"Tromsø, Norway",302,69.6516345,18.9558585,251709474
"Trondheim, Norway",768,63.4304475,10.3952118,149272066
"Tvedestrand, Norway",101,58.6226384,8.9312364,151654948
"Tynset, Norway",149,62.360107,10.5322494,149919202
"Vardø, Norway",102,70.3308158,30.9618205,250835304
"Volda, Norway",77,62.0803797,6.2744108,148192901
"Voss, Norway",50,60.6837067,6.4079051,148053341
